,a,b,exact,sma,ama1,ama2,axa2,axa3
0,1,1,2,2,254,2,255,2
1,1,2,3,4,253,2,252,0
2,1,3,4,4,252,2,253,4
3,1,5,6,10,250,2,251,2
4,1,7,8,8,248,2,249,8
5,1,11,12,20,244,2,245,4
6,1,13,14,18,242,2,243,2
7,1,17,18,34,238,2,239,2
8,1,19,20,36,236,2,237,4
9,1,23,24,40,232,2,233,8
10,1,29,30,34,226,2,227,2
11,1,31,32,32,224,2,225,32
12,1,37,38,74,218,2,219,2
13,1,41,42,82,214,2,215,2
14,1,43,44,84,212,2,213,4
15,1,47,48,80,208,2,209,16
16,1,53,54,74,202,2,203,2
17,1,59,60,68,196,2,197,4
18,1,61,62,66,194,2,195,2
19,1,67,68,132,188,2,189,4
20,1,71,72,136,184,2,185,8
21,1,73,74,146,182,2,183,2
22,1,79,80,144,176,2,177,16
23,1,83,84,164,172,2,173,4
24,1,89,90,162,166,2,167,2
25,1,97,98,130,158,2,159,2
26,1,101,102,138,154,2,155,2
27,1,103,104,136,152,2,153,8
28,1,107,108,148,148,2,149,4
29,1,109,110,146,146,2,147,2
30,1,113,114,130,142,2,143,2
31,1,121,122,130,134,2,135,2
32,1,127,128,128,128,2,129,128
33,2,1,3,4,252,4,252,0
34,2,2,4,4,253,4,255,4
35,2,3,5,6,252,4,254,4
36,2,5,7,8,248,4,248,0
37,2,7,9,10,248,4,250,8
38,2,11,13,22,244,4,246,4
39,2,13,15,16,240,4,240,0
40,2,17,19,36,236,4,236,0
41,2,19,21,38,236,4,238,4
42,2,23,25,42,232,4,234,8
43,2,29,31,32,224,4,224,0
44,2,31,33,34,224,4,226,32
45,2,37,39,72,216,4,216,0
46,2,41,43,84,212,4,212,0
47,2,43,45,86,212,4,214,4
48,2,47,49,82,208,4,210,16
49,2,53,55,72,200,4,200,0
50,2,59,61,70,196,4,198,4
51,2,61,63,64,192,4,192,0
52,2,67,69,134,188,4,190,4
53,2,71,73,138,184,4,186,8
54,2,73,75,148,180,4,180,0
55,2,79,81,146,176,4,178,16
56,2,83,85,166,172,4,174,4
57,2,89,91,164,164,4,164,0
58,2,97,99,132,156,4,156,0
59,2,101,103,136,152,4,152,0
60,2,103,105,138,152,4,154,8
61,2,107,109,150,148,4,150,4
62,2,109,111,144,144,4,144,0
63,2,113,115,132,140,4,140,0
64,2,121,123,132,132,4,132,0
65,2,127,129,130,128,4,130,128
66,3,1,4,4,252,4,253,4
67,3,2,5,4,253,6,254,4
68,3,3,6,6,252,6,255,6
69,3,5,8,8,248,4,249,8
70,3,7,10,10,248,6,251,10
71,3,11,14,22,244,6,247,6
72,3,13,16,16,240,4,241,16
73,3,17,20,36,236,4,237,4
74,3,19,22,38,236,6,239,6
75,3,23,26,42,232,6,235,10
76,3,29,32,32,224,4,225,32
77,3,31,34,34,224,6,227,34
78,3,37,40,72,216,4,217,8
79,3,41,44,84,212,4,213,4
80,3,43,46,86,212,6,215,6
81,3,47,50,82,208,6,211,18
82,3,53,56,72,200,4,201,8
83,3,59,62,70,196,6,199,6
84,3,61,64,64,192,4,193,64
85,3,67,70,134,188,6,191,6
86,3,71,74,138,184,6,187,10
87,3,73,76,148,180,4,181,4
88,3,79,82,146,176,6,179,18
89,3,83,86,166,172,6,175,6
90,3,89,92,164,164,4,165,4
91,3,97,100,132,156,4,157,4
92,3,101,104,136,152,4,153,8
93,3,103,106,138,152,6,155,10
94,3,107,110,150,148,6,151,6
95,3,109,112,144,144,4,145,16
96,3,113,116,132,140,4,141,4
97,3,121,124,132,132,4,133,4
98,3,127,130,130,128,6,131,130
99,5,1,6,2,254,10,251,2
100,5,2,7,8,249,10,248,0
101,5,3,8,8,248,10,249,8
102,5,5,10,10,250,10,255,10
103,5,7,12,12,248,10,253,12
104,5,11,16,16,240,10,241,16
105,5,13,18,18,242,10,247,18
106,5,17,22,34,238,10,235,2
107,5,19,24,40,232,10,233,8
108,5,23,28,44,232,10,237,12
109,5,29,34,34,226,10,231,34
110,5,31,36,36,224,10,229,36
111,5,37,42,74,218,10,223,10
112,5,41,46,82,214,10,211,2
113,5,43,48,80,208,10,209,16
114,5,47,52,84,208,10,213,20
115,5,53,58,74,202,10,207,10
116,5,59,64,64,192,10,193,64
117,5,61,66,66,194,10,199,66
118,5,67,72,136,184,10,185,8
