,a,b,exact,sma,ama1,ama2,axa2,axa3,bxfa
761,83,3,86,6,252,166,175,6,83
762,83,5,88,8,248,164,169,8,83
763,83,7,90,10,248,166,171,10,83
764,83,11,94,38,228,166,167,6,83
765,83,13,96,32,224,164,161,32,83
766,83,17,100,36,236,164,189,36,83
767,83,19,102,38,236,166,191,38,83
768,83,23,106,42,232,166,187,42,83
769,83,29,112,48,224,164,177,48,83
770,83,31,114,50,224,166,179,50,83
771,83,37,120,136,152,164,137,8,83
772,83,41,124,132,132,164,133,4,83
773,83,43,126,134,132,166,135,6,83
774,83,47,130,130,128,166,131,130,83
775,83,53,136,136,136,164,153,136,83
776,83,59,142,150,132,166,151,134,83
777,83,61,144,144,128,164,145,144,83
778,83,67,150,134,188,166,239,134,83
779,83,71,154,138,184,166,235,138,83
780,83,73,156,164,164,164,229,132,83
781,83,79,162,162,160,166,227,162,83
782,83,83,166,166,172,166,255,166,83
783,83,89,172,180,164,164,245,164,83
784,83,97,180,196,156,164,205,132,83
785,83,101,184,200,152,164,201,136,83
786,83,103,186,202,152,166,203,138,83
787,83,107,190,198,132,166,199,134,83
788,83,109,192,192,128,164,193,192,83
789,83,113,196,196,140,164,221,196,83
790,83,121,204,212,132,164,213,196,83
791,83,127,210,210,128,166,211,210,83
792,89,1,90,2,254,162,167,2,89
793,89,2,91,4,253,162,164,0,89
794,89,3,92,4,252,162,165,4,89
795,89,5,94,34,226,162,163,2,89
796,89,7,96,32,224,162,161,32,89
797,89,11,100,36,228,162,173,36,89
798,89,13,102,42,226,162,171,34,89
799,89,17,106,34,238,178,183,34,89
800,89,19,108,36,236,178,181,36,89
801,89,23,112,48,224,178,177,48,89
802,89,29,118,58,226,178,187,50,89
803,89,31,120,56,224,178,185,56,89
804,89,37,126,130,130,162,131,2,89
805,89,41,130,130,134,162,143,130,89
806,89,43,132,132,132,162,141,132,89
807,89,47,136,136,128,162,137,136,89
808,89,53,142,146,130,178,147,130,89
809,89,59,148,148,132,178,157,148,89
810,89,61,150,154,130,178,155,146,89
811,89,67,156,132,188,162,229,132,89
812,89,71,160,160,160,162,225,160,89
813,89,73,162,162,166,162,239,162,89
814,89,79,168,168,160,162,233,168,89
815,89,83,172,164,172,178,245,164,89
816,89,89,178,178,166,178,255,178,89
817,89,97,186,194,158,162,199,130,89
818,89,101,190,194,130,162,195,130,89
819,89,103,192,192,128,162,193,192,89
820,89,107,196,196,132,162,205,196,89
821,89,109,198,202,130,162,203,194,89
822,89,113,202,194,142,178,215,194,89
823,89,121,210,210,134,178,223,210,89
824,89,127,216,216,128,178,217,216,89
825,97,1,98,2,254,130,159,2,97
826,97,2,99,4,253,130,156,0,97
827,97,3,100,4,252,130,157,4,97
828,97,5,102,10,250,130,155,2,97
829,97,7,104,8,248,130,153,8,97
830,97,11,108,20,244,130,149,4,97
831,97,13,110,18,242,130,147,2,97
832,97,17,114,130,142,130,143,2,97
833,97,19,116,132,140,130,141,4,97
834,97,23,120,136,136,130,137,8,97
835,97,29,126,130,130,130,131,2,97
836,97,31,128,128,128,130,129,128,97
837,97,37,134,138,154,130,187,130,97
838,97,41,138,146,150,130,183,130,97
839,97,43,140,148,148,130,181,132,97
840,97,47,144,144,144,130,177,144,97
841,97,53,150,170,138,130,171,130,97
842,97,59,156,164,132,130,165,132,97
843,97,61,158,162,130,130,163,130,97
844,97,67,164,132,188,194,221,132,97
845,97,71,168,136,184,194,217,136,97
846,97,73,170,146,182,194,215,130,97
847,97,79,176,144,176,194,209,144,97
848,97,83,180,196,140,194,205,132,97
849,97,89,186,194,134,194,199,130,97
850,97,97,194,194,158,194,255,194,97
851,97,101,198,202,154,194,251,194,97
852,97,103,200,200,152,194,249,200,97
853,97,107,204,212,148,194,245,196,97
854,97,109,206,210,146,194,243,194,97
855,97,113,210,226,142,194,239,194,97
856,97,121,218,226,134,194,231,194,97
857,97,127,224,224,128,194,225,224,97
858,101,1,102,2,254,138,155,2,101
859,101,2,103,8,249,138,152,0,101
860,101,3,104,8,248,138,153,8,101
861,101,5,106,10,250,138,159,10,101
862,101,7,108,12,248,138,157,12,101
863,101,11,112,16,240,138,145,16,101
864,101,13,114,18,242,138,151,18,101
865,101,17,118,130,142,138,139,2,101
866,101,19,120,136,136,138,137,8,101
867,101,23,124,140,136,138,141,12,101
868,101,29,130,130,130,138,135,130,101
869,101,31,132,132,128,138,133,132,101
870,101,37,138,138,154,138,191,138,101
871,101,41,142,146,150,138,179,130,101
872,101,43,144,144,144,138,177,144,101
873,101,47,148,148,144,138,181,148,101
874,101,53,154,170,138,138,175,138,101
875,101,59,160,160,128,138,161,160,101
876,101,61,162,162,130,138,167,162,101
877,101,67,168,136,184,202,217,136,101
878,101,71,172,140,184,202,221,140,101
879,101,73,174,146,182,202,211,130,101
880,101,79,180,148,176,202,213,148,101
881,101,83,184,200,136,202,201,136,101
882,101,89,190,194,134,202,195,130,101
883,101,97,198,194,158,202,251,194,101
884,101,101,202,202,154,202,255,202,101
885,101,103,204,204,152,202,253,204,101
886,101,107,208,208,144,202,241,208,101
887,101,109,210,210,146,202,247,210,101
888,101,113,214,226,142,202,235,194,101
889,101,121,222,226,134,202,227,194,101
890,101,127,228,228,128,202,229,228,101
891,103,1,104,8,248,136,153,8,103
892,103,2,105,8,249,138,154,8,103
893,103,3,106,10,248,138,155,10,103
894,103,5,108,12,248,140,157,12,103
895,103,7,110,14,248,142,159,14,103
896,103,11,114,18,240,138,147,18,103
897,103,13,116,20,240,140,149,20,103
898,103,17,120,136,136,136,137,8,103
899,103,19,122,138,136,138,139,10,103
900,103,23,126,142,136,142,143,14,103
901,103,29,132,132,128,140,133,132,103
902,103,31,134,134,128,142,135,134,103
903,103,37,140,140,152,140,189,140,103
904,103,41,144,144,144,136,177,144,103
905,103,43,146,146,144,138,179,146,103
906,103,47,150,150,144,142,183,150,103
907,103,53,156,172,136,140,173,140,103
908,103,59,162,162,128,138,163,162,103
909,103,61,164,164,128,140,165,164,103
910,103,67,170,138,184,202,219,138,103
911,103,71,174,142,184,206,223,142,103
912,103,73,176,144,176,200,209,144,103
913,103,79,182,150,176,206,215,150,103
914,103,83,186,202,136,202,203,138,103
915,103,89,192,192,128,200,193,192,103
916,103,97,200,200,152,200,249,200,103
917,103,101,204,204,152,204,253,204,103
918,103,103,206,206,152,206,255,206,103
919,103,107,210,210,144,202,243,210,103
920,103,109,212,212,144,204,245,212,103
921,103,113,216,232,136,200,233,200,103
922,103,121,224,224,128,200,225,224,103
923,103,127,230,230,128,206,231,230,103
924,107,1,108,4,252,148,149,4,107
925,107,2,109,4,253,150,150,4,107
926,107,3,110,6,252,150,151,6,107
927,107,5,112,16,240,148,145,16,107
928,107,7,114,18,240,150,147,18,107
929,107,11,118,22,244,150,159,22,107
930,107,13,120,24,240,148,153,24,107
931,107,17,124,132,140,148,133,4,107
932,107,19,126,134,140,150,135,6,107
933,107,23,130,130,128,150,131,130,107
934,107,29,136,136,128,148,137,136,107
935,107,31,138,138,128,150,139,138,107
936,107,37,144,144,144,148,177,144,107
937,107,41,148,148,148,148,189,148,107
938,107,43,150,150,148,150,191,150,107
939,107,47,154,154,144,150,187,154,107
940,107,53,160,160,128,148,161,160,107
941,107,59,166,166,132,150,175,166,107
942,107,61,168,168,128,148,169,168,107
943,107,67,174,134,188,214,215,134,107
944,107,71,178,146,176,214,211,146,107
945,107,73,180,148,180,212,221,148,107
946,107,79,186,154,176,214,219,154,107
947,107,83,190,198,140,214,199,134,107
948,107,89,196,196,132,212,205,196,107
949,107,97,204,196,156,212,245,196,107
950,107,101,208,208,144,212,241,208,107
951,107,103,210,210,144,214,243,210,107
952,107,107,214,214,148,214,255,214,107
953,107,109,216,216,144,212,249,216,107
954,107,113,220,228,140,212,229,196,107
955,107,121,228,228,132,212,237,228,107
956,107,127,234,234,128,214,235,234,107
957,109,1,110,2,254,146,147,2,109
958,109,2,111,16,241,146,144,0,109
959,109,3,112,16,240,146,145,16,109
960,109,5,114,18,242,146,151,18,109
961,109,7,116,20,240,146,149,20,109
962,109,11,120,24,240,154,153,24,109
963,109,13,122,26,242,154,159,26,109
964,109,17,126,130,142,146,131,2,109
965,109,19,128,128,128,146,129,128,109
966,109,23,132,132,128,146,133,132,109
967,109,29,138,138,130,154,143,138,109
968,109,31,140,140,128,154,141,140,109
969,109,37,146,146,146,146,183,146,109
970,109,41,150,146,150,154,187,146,109
971,109,43,152,152,144,154,185,152,109
972,109,47,156,156,144,154,189,156,109
973,109,53,162,162,130,146,167,162,109
974,109,59,168,168,128,154,169,168,109
975,109,61,170,170,130,154,175,170,109
976,109,67,176,144,176,210,209,144,109
977,109,71,180,148,176,210,213,148,109
978,109,73,182,146,182,218,219,146,109
979,109,79,188,156,176,218,221,156,109
980,109,83,192,192,128,210,193,192,109
981,109,89,198,194,134,218,203,194,109
982,109,97,206,194,158,210,243,194,109
983,109,101,210,210,146,210,247,210,109
984,109,103,212,212,144,210,245,212,109
985,109,107,216,216,144,218,249,216,109
986,109,109,218,218,146,218,255,218,109
987,109,113,222,226,142,210,227,194,109
988,109,121,230,226,134,218,235,226,109
989,109,127,236,236,128,218,237,236,109
990,113,1,114,2,254,130,143,2,113
991,113,2,115,4,253,130,140,0,113
992,113,3,116,4,252,130,141,4,113
993,113,5,118,10,250,130,139,2,113
994,113,7,120,8,248,130,137,8,113
995,113,11,124,132,132,130,133,4,113
996,113,13,126,130,130,130,131,2,113
997,113,17,130,130,142,130,159,130,113
998,113,19,132,132,140,130,157,132,113
999,113,23,136,136,136,130,153,136,113
1000,113,29,142,146,130,130,147,130,113
1001,113,31,144,144,128,130,145,144,113
1002,113,37,150,138,154,162,171,130,113
1003,113,41,154,162,134,162,167,130,113
1004,113,43,156,164,132,162,165,132,113
1005,113,47,160,160,128,162,161,160,113
1006,113,53,166,170,138,162,187,162,113
1007,113,59,172,180,132,162,181,164,113
1008,113,61,174,178,130,162,179,162,113
1009,113,67,180,132,188,194,205,132,113
1010,113,71,184,136,184,194,201,136,113
1011,113,73,186,194,134,194,199,130,113
1012,113,79,192,192,128,194,193,192,113
1013,113,83,196,196,140,194,221,196,113
1014,113,89,202,210,134,194,215,194,113
1015,113,97,210,194,158,226,239,194,113
1016,113,101,214,202,154,226,235,194,113
1017,113,103,216,200,152,226,233,200,113
1018,113,107,220,228,132,226,229,196,113
1019,113,109,222,226,130,226,227,194,113
1020,113,113,226,226,142,226,255,226,113
1021,113,121,234,242,134,226,247,226,113
1022,113,127,240,240,128,226,241,240,113
1023,121,1,122,2,254,130,135,2,121
1024,121,2,123,4,253,130,132,0,121
1025,121,3,124,4,252,130,133,4,121
1026,121,5,126,130,130,130,131,2,121
1027,121,7,128,128,128,130,129,128,121
1028,121,11,132,132,132,130,141,132,121
1029,121,13,134,138,130,130,139,130,121
1030,121,17,138,130,142,146,151,130,121
1031,121,19,140,132,140,146,149,132,121
1032,121,23,144,144,128,146,145,144,121
1033,121,29,150,154,130,146,155,146,121
1034,121,31,152,152,128,146,153,152,121
1035,121,37,158,162,130,162,163,130,121
1036,121,41,162,162,134,162,175,162,121
1037,121,43,164,164,132,162,173,164,121
1038,121,47,168,168,128,162,169,168,121
1039,121,53,174,178,130,178,179,162,121
1040,121,59,180,180,132,178,189,180,121
1041,121,61,182,186,130,178,187,178,121
1042,121,67,188,132,188,194,197,132,121
1043,121,71,192,192,128,194,193,192,121
1044,121,73,194,194,134,194,207,194,121
1045,121,79,200,200,128,194,201,200,121
1046,121,83,204,196,140,210,213,196,121
1047,121,89,210,210,134,210,223,210,121
1048,121,97,218,194,158,226,231,194,121
1049,121,101,222,226,130,226,227,194,121
1050,121,103,224,224,128,226,225,224,121
1051,121,107,228,228,132,226,237,228,121
1052,121,109,230,234,130,226,235,226,121
1053,121,113,234,226,142,242,247,226,121
1054,121,121,242,242,134,242,255,242,121
1055,121,127,248,248,128,242,249,248,121
1056,127,1,128,128,128,128,129,128,127
1057,127,2,129,128,129,130,130,128,127
1058,127,3,130,130,128,130,131,130,127
1059,127,5,132,132,128,132,133,132,127
1060,127,7,134,134,128,134,135,134,127
1061,127,11,138,138,128,138,139,138,127
1062,127,13,140,140,128,140,141,140,127
1063,127,17,144,144,128,144,145,144,127
1064,127,19,146,146,128,146,147,146,127
1065,127,23,150,150,128,150,151,150,127
1066,127,29,156,156,128,156,157,156,127
1067,127,31,158,158,128,158,159,158,127
1068,127,37,164,164,128,164,165,164,127
1069,127,41,168,168,128,168,169,168,127
1070,127,43,170,170,128,170,171,170,127
1071,127,47,174,174,128,174,175,174,127
1072,127,53,180,180,128,180,181,180,127
1073,127,59,186,186,128,186,187,186,127
1074,127,61,188,188,128,188,189,188,127
1075,127,67,194,194,128,194,195,194,127
1076,127,71,198,198,128,198,199,198,127
1077,127,73,200,200,128,200,201,200,127
1078,127,79,206,206,128,206,207,206,127
1079,127,83,210,210,128,210,211,210,127
1080,127,89,216,216,128,216,217,216,127
1081,127,97,224,224,128,224,225,224,127
1082,127,101,228,228,128,228,229,228,127
1083,127,103,230,230,128,230,231,230,127
1084,127,107,234,234,128,234,235,234,127
1085,127,109,236,236,128,236,237,236,127
1086,127,113,240,240,128,240,241,240,127
1087,127,121,248,248,128,248,249,248,127
1088,127,127,254,254,128,254,255,254,127
